Time,GMSL,GMSL uncertainty
2019,227.3,11.4
2018,216.6,7.9
2017,215.1,7.5
2016,208.1,7.2
2015,207.8,7.1
2014,210.9,7.1
2013,200.2,6.9
2012,202.4,6.9
2011,195.4,6.9
2010,194.2,6.9
2009,187.5,6.8
2008,181.1,6.8
2007,172.7,7.1
2006,171.3,6.9
2005,167.2,6.9
2004,166.8,6.9
2003,168.1,7
2002,159.6,6.9
2001,156.7,6.9
2000,151.2,7
1999,147.6,6.9
1998,137.8,6.9
1997,149.1,6.7
1996,142.1,6.7
1995,136.9,6.7
1994,132.3,6.4
1993,128.9,6.4
1992,133.4,6.4
1991,130.6,6.3
1990,127.5,6.3
1989,126.1,6.4
1988,121.6,6.3
1987,116.9,6.2
1986,116.3,6.3
1985,115.7,6.3
1984,126,6.3
1983,126.9,6.5
1982,118.5,6.3
1981,124.3,6.5
1980,111.9,6.5
1979,105.9,6.7
1978,110.8,6.7
1977,104.4,6.6
1976,106.1,6.8
1975,107.1,6.7
1974,108.7,6.8
1973,96.8,6.8
1972,102.8,6.9
1971,93.7,6.9
1970,88.5,7
1969,90.4,7
1968,83.6,6.7
1967,82.8,6.5
1966,81.4,6.6
1965,86.8,6.7
1964,75.6,6.7
1963,83.5,6.6
1962,85.1,6.6
1961,90.3,6.6
1960,84.1,6.6
1959,80.4,6.5
1958,80.1,6.6
1957,78.7,6.9
1956,65.3,7
1955,70.4,7.1
1954,69.5,7.3
1953,72.4,7.5
1952,68,7.7
1951,70.6,7.8
1950,61.1,7.9
1949,58.9,8.4
1948,60.2,9.3
1947,55.4,9.6
1946,52.3,10.6
1945,44.8,10.7
1944,42,10.7
1943,48.4,10.8
1942,48.4,10.8
1941,48.4,10.8
1940,36.2,11.1
1939,41.5,12.2
1938,36.3,11.8
1937,33.7,11.8
1936,28,11.8
1935,31.9,11.9
1934,26.3,11.9
1933,31.7,11.8
1932,27.4,11.9
1931,21.7,12.2
1930,22.1,12
1929,18.1,12.1
1928,16.7,12.3
1927,20.6,12.9
1926,21.7,13.7
1925,15.2,13.6
1924,13.2,13.1
1923,20.5,13
1922,19.3,13.2
1921,20.2,13.1
1920,18.1,13
1919,16.8,12.7
1918,15.2,12.7
1917,16.8,12.8
1916,21.3,13
1915,23.2,13.6
1914,15.3,13.8
1913,9,14.1
1912,7.2,14.2
1911,10.3,14.2
1910,2,14.6
1909,2.1,14.6
1908,-2.4,14.5
1907,0.1,14.9
1906,1.5,14.7
1905,-5.3,15.4
1904,0.2,16.9
1903,10.5,17
1902,2.5,17.3
1901,-2.1,17.6
1900,-1.7,18.3
1899,3.7,19.4
1898,-3.8,19.7
1897,-13.2,20.8
1896,-18.4,21.2
1895,-10.8,21.6
1894,-22.6,21.6
1893,-12.9,20.3
1892,-17.6,20.7
1891,-20.8,20.7
1890,-19.1,20.7
1889,-21.1,20.8
1888,-22.7,20.8
1887,-24.8,20.8
1886,-19.2,20.8
1885,-16.8,21.9
1884,-15.3,22.2
1883,-36.2,22.8
1882,-41.5,23
1881,-24.7,24.2
1880,-30.3,24.2